source,aod_band,coefficient,beta,se_robust,t,p,ci_lo_95,ci_hi_95,robust_method,n,r2
primary,merra2_duexttau_550,Intercept,+0.001629,0.001714,+0.9504,0.341912,-0.001731,+0.004989,HC3,224,0.0278
primary,merra2_duexttau_550,C(aoi)[T.king_salman_park],+0.000887,0.001583,+0.5602,0.575332,-0.002215,+0.003988,HC3,224,0.0278
primary,merra2_duexttau_550,C(aoi)[T.qiddiya_core],+0.000877,0.001623,+0.5406,0.588773,-0.002303,+0.004058,HC3,224,0.0278
primary,merra2_duexttau_550,aod,-0.010122,0.004480,-2.2595,0.023851,-0.018903,-0.001342,HC3,224,0.0278
