date,l1c_product_id,cloud_pct,tropomi_n_images,uvai_mean,uvai_max
2020-01-06,20200106T073209_20200106T073209_T38RPN,0.156738033384096,14,-0.9032418940111038,-0.8208038806915283
2020-01-11,20200111T073251_20200111T073252_T38RPN,0.013437248051599,14,-0.4153099314447996,-0.35129445791244507
2020-01-16,20200116T073139_20200116T074024_T38RPN,0.6891,14,-0.45135832946258636,-0.40557166934013367
2020-01-21,20200121T073221_20200121T073219_T38RPN,1.6047,14,-0.28939922729981393,-0.2676893472671509
2020-01-26,20200126T073059_20200126T073934_T38RPN,3.8243,15,-0.5521392506359318,-0.42332445085048676
2020-01-31,20200131T073131_20200131T073131_T38RPN,0,15,-0.23016845865819072,-0.17544731125235558
2020-02-15,20200215T073009_20200215T073205_T38RPN,0,14,-0.2435656005499118,-0.1078922301530838
2020-03-01,20200301T072821_20200301T073633_T38RPN,0,14,0.6471796842010653,0.758916974067688
2020-03-06,20200306T072749_20200306T073328_T38RPN,0,14,0.6303460527819293,0.7251995205879211
2020-03-16,20200316T072639_20200316T073813_T38RPN,0,14,0.5175308866015275,0.5545801520347595
2020-03-21,20200321T072611_20200321T073926_T38RPN,0,14,0.7993822318260446,0.8624933362007141
2020-03-26,20200326T072619_20200326T074241_T38RPN,0,14,1.0799263696688546,1.1054061651229858
2020-03-31,20200331T072611_20200331T073205_T38RPN,0,14,0.42626248279379203,0.48531338572502136
2020-04-05,20200405T072609_20200405T073256_T38RPN,0.3022,15,0.3141728820217113,0.3765051066875458
2020-04-10,20200410T072611_20200410T073912_T38RPN,2.9129,15,0.8205569505808785,0.8427379267584002
2020-04-25,20200425T072609_20200425T073431_T38RPN,0.023,14,0.21172184052060092,0.2205896628653276
2020-05-25,20200525T072619_20200525T073434_T38RPN,3.9242,14,0.782720826126483,0.8310357332233667
2020-05-30,20200530T072621_20200530T073207_T38RPN,0.1883,14,0.7688024676990225,0.7931033968929343
2020-06-04,20200604T072619_20200604T073435_T38RPN,0.1771,14,0.8016087699294266,0.8659693598751476
2020-06-09,20200609T072621_20200609T073925_T38RPN,0.2184,14,1.494203323060032,1.5578325986869779
2020-06-14,20200614T072619_20200614T074238_T38RPN,0.6169,14,0.33298415863371866,0.343940794468025
2020-06-19,20200619T072621_20200619T074130_T38RPN,0.2889,14,0.40980850021666076,0.4790105521680303
2020-06-24,20200624T072619_20200624T073432_T38RPN,0.2007,15,0.48885488284449496,0.48943895101571105
2020-06-29,20200629T072621_20200629T073206_T38RPN,0.2671,15,0.2766028430429458,0.29410327793366414
2020-07-04,20200704T072619_20200704T073413_T38RPN,0.2063,24,-0.40483664373633554,-0.39009034633619977
2020-07-24,20200724T072619_20200724T073435_T38RPN,2.1783,14,-0.10033750878619097,0.033326275646696144
2020-07-29,20200729T072621_20200729T074050_T38RPN,0.2167,14,-0.0166605633376069,0.11328655481344024
2020-08-03,20200803T072619_20200803T073526_T38RPN,0.1755,14,0.13344028402260968,0.1721879299775701
2020-08-13,20200813T072619_20200813T073935_T38RPN,0.9791,14,0.6792595888636435,0.7125367522241736
2020-08-18,20200818T072621_20200818T073707_T38RPN,0.2838,14,0.6382839652892214,0.7422404885294189
2020-08-23,20200823T072619_20200823T073150_T38RPN,0.2122,14,0.8113642944997432,0.8791749477390761
2020-08-28,20200828T072621_20200828T073152_T38RPN,0.3172,14,0.4090469247248085,0.48407065868391613
2020-09-07,20200907T072621_20200907T073151_T38RPN,0.3278,14,-0.19373713742652998,-0.18370357155792097
2020-09-12,20200912T072619_20200912T073659_T38RPN,0,14,-0.06983406977244401,-0.06914518028494772
2020-09-17,20200917T072621_20200917T073152_T38RPN,0,15,-0.22929501805126534,-0.16841794550417716
2020-09-22,20200922T072619_20200922T073147_T38RPN,0.2252,15,-0.6517600071659642,-0.5223205968682217
2020-09-27,20200927T072701_20200927T073151_T38RPN,0,15,-0.2781365689655457,-0.22522613778700842
2020-10-02,20201002T072729_20201002T073150_T38RPN,0,14,-0.3634676285661066,-0.1633860766886974
2020-10-12,20201012T072839_20201012T073934_T38RPN,0.3811,14,-0.3354066934212797,-0.11521863937373057
2020-10-17,20201017T072921_20201017T073151_T38RPN,0.0109588222998597,14,-0.5614991225231116,-0.4533557593820562
2020-10-22,20201022T072949_20201022T073149_T38RPN,0.3106,14,0.15034123228828364,0.1992617100477792
2020-10-27,20201027T073021_20201027T073152_T38RPN,0.00671862402579952,14,-0.25985786228210045,-0.17807236313815125
2020-11-01,20201101T073049_20201101T073147_T38RPN,0.3348,14,-0.02229910705163519,0.04838281124832605
2020-11-06,20201106T073111_20201106T073150_T38RPN,1.0069,14,-0.11685852288351857,-0.10380465537305257
2020-11-11,20201111T073139_20201111T073849_T38RPN,0.0225745767266864,14,-0.10759719858243473,0.017640225589280436
2020-11-16,20201116T073201_20201116T073203_T38RPN,0.3374,14,-0.3933770164574682,-0.3466573953627613
2020-11-21,20201121T073219_20201121T073221_T38RPN,4.2608,14,-0.14154232291432672,-0.1210112944245015
2020-11-26,20201126T073241_20201126T073240_T38RPN,4.1346,14,-0.37003866892763815,-0.27712276577942113
2020-12-06,20201206T073301_20201206T073304_T38RPN,0.8141,14,-0.47049699913396864,-0.4471254348752992
2020-12-11,20201211T073219_20201211T074003_T38RPN,0,15,-0.6239424599080966,-0.5149391740558354
2020-12-31,20201231T073219_20201231T073222_T38RPN,0.10412374212428,14,-1.1294394836193418,-0.9598014272322205
2021-01-05,20210105T073311_20210105T073312_T38RPN,0,14,-0.9164897171312312,-0.9049994945523704
2021-01-10,20210110T073159_20210110T073904_T38RPN,0,14,-1.1662003939808396,-1.0793626308436597
2021-01-20,20210120T073129_20210120T073147_T38RPN,0.0391770432082176,14,0.03160923113795786,0.10406784713273355
2021-01-25,20210125T073201_20210125T073204_T38RPN,0.2905,14,-0.1931393530340571,-0.1401307284831626
2021-01-30,20210130T073049_20210130T073144_T38RPN,0.3514,14,0.02756604948585434,0.06491398066285438
2021-02-04,20210204T073111_20210204T073144_T38RPN,0.2675,14,0.05182083110288115,0.09764339029793732
2021-02-09,20210209T073009_20210209T073930_T38RPN,0.2085,14,-0.2285708198381132,-0.17675207555289313
2021-02-14,20210214T073011_20210214T073144_T38RPN,0.2604,14,-0.30304715124553294,-0.2714823484420051
2021-03-06,20210306T072751_20210306T073146_T38RPN,0.2254,15,-0.3122904757620764,-0.24391086399544892
2021-03-11,20210311T072719_20210311T073703_T38RPN,0.2209,14,-0.21801891804142248,-0.017198222309503602
2021-03-21,20210321T072619_20210321T073146_T38RPN,0.1808,14,0.2702007461555571,0.4133568704129455
2021-03-26,20210326T072611_20210326T073145_T38RPN,0.2492,14,0.3581564823105149,0.36408951878558143
2021-03-31,20210331T072619_20210331T073145_T38RPN,0,14,0.4373915819251597,0.47489222884201315
2021-04-20,20210420T072609_20210420T073142_T38RPN,0,14,0.8006350724400666,0.8299818031344508
2021-04-25,20210425T072611_20210425T073144_T38RPN,0.276,14,0.3686602177253564,0.49313244223608854
2021-04-30,20210430T072609_20210430T073143_T38RPN,0.0725,14,0.27077691055080594,0.29271656274803953
2021-05-05,20210505T072611_20210505T074015_T38RPN,0,14,-0.1182834231687382,-0.07543390989301572
2021-05-10,20210510T072619_20210510T073822_T38RPN,0.0097,15,0.03826607662731558,0.04278747737409771
2021-05-25,20210525T072621_20210525T073148_T38RPN,2.342,14,0.2521197931266999,0.3647284481226038
2021-05-30,20210530T072619_20210530T073148_T38RPN,0.0198,14,-0.3409911536005991,-0.24743723869317116
2021-06-04,20210604T072621_20210604T073148_T38RPN,0.0444,14,-0.19788716076393262,-0.1516877710818603
2021-06-09,20210609T072619_20210609T073839_T38RPN,0.0112,14,0.20633267983222364,0.22970671951781982
2021-06-14,20210614T072621_20210614T073148_T38RPN,0.0084,13,0.5025445652999588,0.5460115671160499
2021-06-24,20210624T072621_20210624T073148_T38RPN,0.0609,14,0.5219073618515696,0.6155430674555918
2021-07-04,20210704T072621_20210704T073150_T38RPN,0.0715,14,1.7436575372160756,1.8223465681084936
2021-07-09,20210709T072619_20210709T073706_T38RPN,0.0584,14,1.994063357072701,2.071654796601352
2021-07-19,20210719T072619_20210719T073149_T38RPN,2.4421,14,0.5673971447241699,0.5800890326502768
2021-07-24,20210724T072621_20210724T073151_T38RPN,0,14,1.5489985795260754,1.565253376961205
2021-08-03,20210803T072621_20210803T073150_T38RPN,0.0465,15,1.8418466161799127,1.8577737567719699
2021-08-08,20210808T072619_20210808T073839_T38RPN,0.1475,15,1.405421092752431,1.4861583709721073
2021-08-18,20210818T072619_20210818T073147_T38RPN,0.1134,14,1.0174908097351136,1.21860910633126
2021-08-23,20210823T072621_20210823T074028_T38RPN,0.027,14,0.9299010697336256,1.1140961647036898
2021-08-28,20210828T072619_20210828T073145_T38RPN,0.1801,14,1.304593016904367,1.4193706512455257
2021-09-07,20210907T072609_20210907T073555_T38RPN,0.0478,14,1.0074453775834276,1.079393386841131
2021-09-12,20210912T072621_20210912T073148_T38RPN,0.9513,14,1.3813842328765285,1.4656533002860541
2021-09-17,20210917T072609_20210917T073143_T38RPN,2.0518,14,1.4115055761937212,1.4293982982639613
2021-09-22,20210922T072621_20210922T073150_T38RPN,0.0738,14,1.3391609861302627,1.3748509883884572
2021-09-27,20210927T072649_20210927T073145_T38RPN,0.1859,14,1.4826247501651562,1.6037379503254736
2021-10-02,20211002T072731_20211002T073151_T38RPN,0.1759,14,1.3417483247183282,1.3929773569113848
2021-10-07,20211007T072759_20211007T073855_T38RPN,0.0818,14,1.1984822197316887,1.232187986374256
2021-10-12,20211012T072841_20211012T073151_T38RPN,0.0949,14,1.0521970991206393,1.0809435844418498
2021-10-17,20211017T072909_20211017T073146_T38RPN,0.0736,14,1.362353797659236,1.3705172538764008
2021-10-22,20211022T072951_20211022T073151_T38RPN,0.0729791871957956,15,1.1632751241939492,1.1785331723029402
2021-10-27,20211027T073019_20211027T073147_T38RPN,0,15,1.6310777259784117,1.7819238320845041
2021-11-01,20211101T073051_20211101T073150_T38RPN,0.0869,15,1.1267919840282608,1.2254139504065305
2021-11-06,20211106T073019_20211106T073851_T38RPN,0.055,14,0.7084370520790962,1.0217113858351918
2021-11-11,20211111T073141_20211111T073147_T38RPN,0.0189,14,1.488993781158002,1.728568553925058
2021-11-21,20211121T073221_20211121T073219_T38RPN,0.0067,14,0.5508475983689076,0.5737207531930667
2021-11-26,20211126T073139_20211126T073143_T38RPN,0.0076,14,0.6994477325834584,0.8265193104746336
2021-12-01,20211201T073251_20211201T073253_T38RPN,0.1348,14,1.0679304994080057,1.1581573486331458
2021-12-06,20211206T073209_20211206T073959_T38RPN,0.7743,13,0.5880966295820095,0.7143356800078864
2022-01-05,20220105T073209_20220105T073918_T38RPN,0.5238,14,1.1546183393724911,1.1611988544469773
2022-01-10,20220110T073301_20220110T073302_T38RPN,0,14,1.4090476072885956,1.4255203008655835
2022-01-20,20220120T073231_20220120T073226_T38RPN,2.4802,13,1.10792275895576,1.1465146385881269
2022-01-25,20220125T073109_20220125T073932_T38RPN,0,15,1.0772625022692126,1.081364959891493
2022-02-04,20220204T073009_20220204T073142_T38RPN,0,14,1.2458340282602662,1.3259856700901032
2022-02-09,20220209T073041_20220209T073510_T38RPN,0,14,0.9213200842888903,1.0063774585723197
2022-02-19,20220219T072941_20220219T073147_T38RPN,0,14,1.2309296316596707,1.3373483419417431
2022-02-24,20220224T072859_20220224T074124_T38RPN,0,14,1.3806041191160892,1.4413322210318917
2022-03-01,20220301T072831_20220301T073149_T38RPN,1.74693182836155,14,1.2546247083919089,1.3209071159369234
2022-03-16,20220316T072639_20220316T073144_T38RPN,0,14,1.6755986931822364,1.7045857906346458
2022-03-26,20220326T072609_20220326T073144_T38RPN,0,14,1.7485655021054791,1.768064236255466
2022-03-31,20220331T072621_20220331T073149_T38RPN,0.0297112484696468,15,1.5431960666724864,1.5634094476707452
2022-04-10,20220410T072621_20220410T073149_T38RPN,0.463077428409328,14,2.073447693003454,2.0958073162338824
2022-04-30,20220430T072621_20220430T073152_T38RPN,0,14,1.5958613981192946,1.6566540002827643
2022-05-05,20220505T072609_20220505T073142_T38RPN,4.06085580339813,14,2.537036020063161,2.629614830016912
2022-05-10,20220510T072621_20220510T073151_T38RPN,0,14,2.428550525271178,2.500536918641356
2022-05-20,20220520T072621_20220520T073153_T38RPN,0,14,2.27946788952802,2.305968046189479
2022-05-25,20220525T072619_20220525T073147_T38RPN,0,14,3.261135648716681,3.305144539527428
2022-05-30,20220530T072621_20220530T073155_T38RPN,0,14,2.1738253835727277,2.1973516941081273
2022-06-04,20220604T072619_20220604T073147_T38RPN,0.010510914031473,14,1.7277001411080628,1.749960422515751
2022-06-09,20220609T072621_20220609T073156_T38RPN,0,14,1.7265479183997972,1.7297484874733777
2022-06-14,20220614T072619_20220614T073150_T38RPN,0.0327271641434501,15,1.8625374011496885,1.8965234539835807
2022-06-19,20220619T072631_20220619T073159_T38RPN,0.00773388276747589,15,2.125257213821353,2.2528939186790926
2022-06-24,20220624T072619_20220624T073152_T38RPN,2.93457553226433,15,1.8275299966886516,1.9068789981413206
2022-06-29,20220629T072631_20220629T073200_T38RPN,0.0743826331034071,14,1.7808822853088,1.8791474028735635
2022-07-04,20220704T072619_20220704T073152_T38RPN,0.0470303681805966,14,1.5691909377041318,1.5747961997993518
2022-07-09,20220709T072631_20220709T074256_T38RPN,2.19242100515119,14,1.5064982393734292,1.5324798822410426
2022-08-03,20220803T072619_20220803T073152_T38RPN,0,14,1.6213385120559591,1.753710865974931
2022-08-08,20220808T072631_20220808T073159_T38RPN,0,14,0.9178641157090951,0.9688811898234294
2022-08-18,20220818T072631_20220818T073200_T38RPN,2.86673235987936,14,2.0620290424467456,2.1049962043768264
2022-08-23,20220823T072619_20220823T073821_T38RPN,3.01221296545134,14,1.503870968737799,1.508224487305423
2022-08-28,20220828T072631_20220828T073200_T38RPN,0.167756576786407,14,1.6079733774141631,1.6463531974596173
2022-09-02,20220902T072619_20220902T073148_T38RPN,0.100898802591896,15,1.182548610949226,1.1866848468786304
2022-09-07,20220907T072631_20220907T073159_T38RPN,0,15,1.310464640767202,1.3381625413898504
2022-09-12,20220912T072619_20220912T073149_T38RPN,0.0574218400071665,15,1.150952792635659,1.1710520211900544
2022-09-17,20220917T072621_20220917T073156_T38RPN,0.0989578667622204,15,1.125461532709449,1.1672668324622584
2022-09-22,20220922T072619_20220922T073821_T38RPN,0.419033115351309,14,0.8233323620546333,0.8362170457844044
2022-09-27,20220927T072701_20220927T073153_T38RPN,0.016363582071725,14,0.8081317226888873,0.8235295061846375
2022-10-02,20221002T072719_20221002T073145_T38RPN,0.088506673833199,14,0.8785922583913344,1.0121723864733077
2022-10-07,20221007T072801_20221007T073151_T38RPN,0.06814177789722,14,0.7179620371509929,0.8206288218500591
2022-10-12,20221012T072829_20221012T073143_T38RPN,0.0617814804861298,14,0.9700514518273664,1.0648714303973401
2022-10-17,20221017T072911_20221017T073149_T38RPN,0.12857953357819,14,1.0694300358812234,1.0909918546681956
2022-10-22,20221022T072939_20221022T073144_T38RPN,0.111439577174595,14,1.021115858499323,1.0742200613024941
2022-11-16,20221116T073201_20221116T073158_T38RPN,0.0249932813759742,14,1.4416842044308162,1.4554291963581458
2022-11-21,20221121T073129_20221121T073145_T38RPN,0.00856997820179761,14,0.7977939925218588,0.7998889088634576
2022-11-26,20221126T073241_20221126T073235_T38RPN,1.72441697273732,14,0.9814550038787336,0.9869459271433809
2022-12-06,20221206T073311_20221206T073305_T38RPN,3.95135716205321,15,0.8657140284928562,0.9017530754047351
2022-12-11,20221211T073219_20221211T073217_T38RPN,0,15,0.11189113183870056,0.20767763257036798
2022-12-21,20221221T073229_20221221T073228_T38RPN,0.0160351160082415,14,0.4240463289922173,0.5558186173438651
2023-01-20,20230120T073129_20230120T073142_T38RPN,0,14,1.0517293383533193,1.101361274719164
2023-02-04,20230204T073111_20230204T073146_T38RPN,1.566723401714,14,1.1535910371726237,1.1578298807149812
2023-02-14,20230214T073011_20230214T073142_T38RPN,0.925378482486787,15,1.4487338013874989,1.4565089941031881
2023-02-24,20230224T072911_20230224T073144_T38RPN,0,15,1.0254675397105935,1.2195375135791786
