variant,source,n_pos,n_neg,auc,threshold_youden,ci_low,ci_high,ci_halfwidth,ci_passes,auc_passes,ships,notes
V1,combined_73,2,49,0.923469387755102,0.12091353794437659,0.10904467651111077,0.2069627833355538,0.04895905341222151,False,True,False,n_pos=2<5_unstable_bootstrap;degenerate_boot_iters=234
V2,combined_73,23,49,0.7107364685004438,0.0274462541574082,0.018544608082458836,0.07887798703489346,0.030166689476217312,False,False,False,
V3,combined_73,11,13,0.9335664335664335,0.05287845921919178,0.05287845921919178,0.05287845921919178,0.0,True,True,True,
V4,combined_73,17,27,0.9237472766884531,0.0274462541574082,0.024479038799091746,0.0595910872058365,0.017556024203372378,True,True,True,
