aoi,year,month,system_index,scene_date,sq2_dbb,calibration_dbb,delta,reason
king_salman_park,2021,2,20210204T073111_20210204T073144_T38RPN,2021-02-04,-0.0884834192,-0.1049705190,+0.0164870997,abs_delta 1.648710e-02 >= tol 0.0001
king_salman_park,2026,2,20260213T074301_20260213T074302_T38RPN,2026-02-13,0.0068750259,0.0107541146,-0.0038790887,abs_delta 3.879089e-03 >= tol 0.0001
