variant,source,n_pos,n_neg,auc,threshold_youden,ci_low,ci_high,ci_halfwidth,ci_passes,auc_passes,ships,notes
V1,combined_73_confirmed,5,53,0.6264150943396226,0.03436975666014663,-0.010633009607652955,0.2069627833355538,0.10879789647160337,False,False,False,degenerate_boot_iters=15
V2,combined_73_confirmed,19,53,0.5784508440913605,0.03436975666014663,-0.003709507104914578,0.0511839770239399,0.027446742064427238,False,False,False,
V3,combined_73_confirmed,9,15,0.837037037037037,0.05287845921919178,0.05287845921919178,0.05287845921919178,0.0,True,True,True,
V4,combined_73_confirmed,16,28,0.8526785714285714,0.03436975666014663,0.0274462541574082,0.0511839770239399,0.011868861433265848,True,True,True,
