id,date,cloud_cover,tile_id,geometry_type,geometry_coords_count
S2A_MSIL2A_20200427T071621_N0500_R006_T38RPN_20230521T045710.SAFE,2020-04-27T07:33:01.203Z,0.41,,,0
S2A_MSIL2A_20200430T072621_N0500_R049_T38RPN_20230520T103315.SAFE,2020-04-30T07:42:57.25Z,27.22,,,0
S2B_MSIL2A_20200502T071619_N0500_R006_T38RPN_20230627T005237.SAFE,2020-05-02T07:32:55.512Z,0.56,,,0
S2B_MSIL2A_20200505T072609_N0500_R049_T38RPN_20230427T065628.SAFE,2020-05-05T07:42:51.648Z,73.46,,,0
S2A_MSIL2A_20200507T071621_N0500_R006_T38RPN_20230609T013006.SAFE,2020-05-07T07:33:02.918Z,8.18,,,0
S2A_MSIL2A_20200510T072621_N0500_R049_T38RPN_20230620T013800.SAFE,2020-05-10T07:42:58.834Z,36.1,,,0
S2B_MSIL2A_20200512T071619_N0500_R006_T38RPN_20230508T155505.SAFE,2020-05-12T07:32:57.68Z,24.05,,,0
S2B_MSIL2A_20200515T072619_N0500_R049_T38RPN_20230424T101545.SAFE,2020-05-15T07:42:53.692Z,85.85,,,0
S2A_MSIL2A_20200517T071621_N0500_R006_T38RPN_20230502T114259.SAFE,2020-05-17T07:33:04.123Z,8.21,,,0
S2A_MSIL2A_20200520T072621_N0500_R049_T38RPN_20230620T230049.SAFE,2020-05-20T07:42:59.911Z,17.36,,,0
S2B_MSIL2A_20200522T071619_N0500_R006_T38RPN_20230502T093351.SAFE,2020-05-22T07:32:59.362Z,18.58,,,0
S2B_MSIL2A_20200525T072619_N0500_R049_T38RPN_20230507T180445.SAFE,2020-05-25T07:42:55.239Z,14.19,,,0
S2A_MSIL2A_20200527T071621_N0500_R006_T38RPN_20230502T014624.SAFE,2020-05-27T07:33:04.889Z,4.09,,,0
S2A_MSIL2A_20200530T072621_N0500_R049_T38RPN_20230508T090212.SAFE,2020-05-30T07:43:00.525Z,0.0,,,0
S2B_MSIL2A_20200601T071619_N0500_R006_T38RPN_20230501T061516.SAFE,2020-06-01T07:33:00.543Z,0.0,,,0
S2B_MSIL2A_20200604T072619_N0500_R049_T38RPN_20230619T200141.SAFE,2020-06-04T07:42:56.276Z,0.0,,,0
S2A_MSIL2A_20200606T071621_N0500_R006_T38RPN_20230616T221710.SAFE,2020-06-06T07:33:05.178Z,0.31,,,0
S2A_MSIL2A_20200609T072621_N0500_R049_T38RPN_20230423T023701.SAFE,2020-06-09T07:43:00.672Z,0.0,,,0
S2B_MSIL2A_20200611T071619_N0500_R006_T38RPN_20230620T035532.SAFE,2020-06-11T07:33:01.248Z,0.0,,,0
S2B_MSIL2A_20200614T072619_N0500_R049_T38RPN_20230615T025701.SAFE,2020-06-14T07:42:56.798Z,0.47,,,0
S2A_MSIL2A_20200616T071621_N0500_R006_T38RPN_20230427T171517.SAFE,2020-06-16T07:33:04.969Z,0.28,,,0
S2A_MSIL2A_20200619T072621_N0500_R049_T38RPN_20230429T155300.SAFE,2020-06-19T07:43:00.332Z,0.0,,,0
S2B_MSIL2A_20200621T071619_N0500_R006_T38RPN_20230430T152304.SAFE,2020-06-21T07:33:01.486Z,0.0,,,0
S2B_MSIL2A_20200624T072619_N0500_R049_T38RPN_20230501T224329.SAFE,2020-06-24T07:42:56.924Z,0.0,,,0
S2A_MSIL2A_20200626T071621_N0500_R006_T38RPN_20230506T073353.SAFE,2020-06-26T07:33:04.383Z,1.74,,,0
S2A_MSIL2A_20200629T072621_N0500_R049_T38RPN_20230506T061032.SAFE,2020-06-29T07:42:59.583Z,0.0,,,0
S2B_MSIL2A_20200701T071619_N0500_R006_T38RPN_20230613T081324.SAFE,2020-07-01T07:33:01.278Z,0.0,,,0
S2B_MSIL2A_20200704T072619_N0500_R049_T38RPN_20230530T144714.SAFE,2020-07-04T07:42:56.579Z,0.0,,,0
S2A_MSIL2A_20200706T071621_N0500_R006_T38RPN_20230612T045455.SAFE,2020-07-06T07:33:03.395Z,0.21,,,0
S2A_MSIL2A_20200709T072621_N0500_R049_T38RPN_20230530T061345.SAFE,2020-07-09T07:42:58.452Z,29.09,,,0
S2B_MSIL2A_20200711T071619_N0500_R006_T38RPN_20230524T181949.SAFE,2020-07-11T07:33:00.683Z,0.5,,,0
S2B_MSIL2A_20200714T072619_N0500_R049_T38RPN_20230423T101914.SAFE,2020-07-14T07:42:55.842Z,44.47,,,0
S2A_MSIL2A_20200716T071621_N0500_R006_T38RPN_20230423T071401.SAFE,2020-07-16T07:33:03.679Z,0.28,,,0
S2A_MSIL2A_20200719T072621_N0500_R049_T38RPN_20230423T160715.SAFE,2020-07-19T07:42:59.431Z,23.11,,,0
S2B_MSIL2A_20200721T071619_N0500_R006_T38RPN_20230426T083316.SAFE,2020-07-21T07:33:00.799Z,0.01,,,0
S2B_MSIL2A_20200724T072619_N0500_R049_T38RPN_20230506T042812.SAFE,2020-07-24T07:42:56.561Z,8.14,,,0
S2A_MSIL2A_20200726T071621_N0500_R006_T38RPN_20230505T170053.SAFE,2020-07-26T07:33:04.479Z,0.35,,,0
S2A_MSIL2A_20200729T072621_N0500_R049_T38RPN_20230504T130248.SAFE,2020-07-29T07:43:00.09Z,0.0,,,0
S2B_MSIL2A_20200731T071619_N0500_R006_T38RPN_20230523T041654.SAFE,2020-07-31T07:33:01.765Z,0.0,,,0
S2B_MSIL2A_20200803T072619_N0500_R049_T38RPN_20230420T045913.SAFE,2020-08-03T07:42:57.43Z,0.0,,,0
S2A_MSIL2A_20200805T071621_N0500_R006_T38RPN_20230422T185843.SAFE,2020-08-05T07:33:04.872Z,2.95,,,0
S2A_MSIL2A_20200808T072621_N0500_R049_T38RPN_20230421T194016.SAFE,2020-08-08T07:43:00.365Z,3.04,,,0
S2B_MSIL2A_20200810T071619_N0500_R006_T38RPN_20230419T040358.SAFE,2020-08-10T07:33:02.333Z,0.01,,,0
S2B_MSIL2A_20200813T072619_N0500_R049_T38RPN_20230317T222345.SAFE,2020-08-13T07:42:57.841Z,1.05,,,0
S2A_MSIL2A_20200815T071621_N0500_R006_T38RPN_20230421T235913.SAFE,2020-08-15T07:33:04.774Z,5.61,,,0
S2A_MSIL2A_20200818T072621_N0500_R049_T38RPN_20230509T221615.SAFE,2020-08-18T07:43:00.168Z,0.0,,,0
S2B_MSIL2A_20200820T071619_N0500_R006_T38RPN_20230422T011425.SAFE,2020-08-20T07:33:02.486Z,0.0,,,0
S2B_MSIL2A_20200823T072619_N0500_R049_T38RPN_20230507T212808.SAFE,2020-08-23T07:42:57.892Z,0.46,,,0
S2A_MSIL2A_20200825T071621_N0500_R006_T38RPN_20230529T211757.SAFE,2020-08-25T07:33:04.292Z,1.24,,,0
S2A_MSIL2A_20200828T072621_N0500_R049_T38RPN_20230418T121049.SAFE,2020-08-28T07:42:59.541Z,0.0,,,0
S2B_MSIL2A_20200830T071619_N0500_R006_T38RPN_20230413T215854.SAFE,2020-08-30T07:33:02.183Z,0.02,,,0
S2B_MSIL2A_20200902T072619_N0500_R049_T38RPN_20230418T184308.SAFE,2020-09-02T07:42:57.491Z,16.51,,,0
S2A_MSIL2A_20200904T071621_N0500_R006_T38RPN_20230418T035157.SAFE,2020-09-04T07:33:03.397Z,0.18,,,0
S2A_MSIL2A_20200907T072621_N0500_R049_T38RPN_20230415T112702.SAFE,2020-09-07T07:42:58.512Z,0.0,,,0
S2B_MSIL2A_20200909T071619_N0500_R006_T38RPN_20230421T123249.SAFE,2020-09-09T07:33:01.453Z,0.0,,,0
S2B_MSIL2A_20200912T072619_N0500_R049_T38RPN_20230311T230540.SAFE,2020-09-12T07:42:56.617Z,0.0,,,0
S2A_MSIL2A_20200914T071621_N0500_R006_T38RPN_20230420T075114.SAFE,2020-09-14T07:33:03.068Z,4.54,,,0
S2A_MSIL2A_20200917T072621_N0500_R049_T38RPN_20230413T230344.SAFE,2020-09-17T07:42:58.93Z,0.0,,,0
S2B_MSIL2A_20200919T071619_N0500_R006_T38RPN_20230421T044222.SAFE,2020-09-19T07:33:00.814Z,0.04,,,0
S2B_MSIL2A_20200922T072619_N0500_R049_T38RPN_20230420T163353.SAFE,2020-09-22T07:42:56.65Z,0.0,,,0
S2A_MSIL2A_20200924T071631_N0500_R006_T38RPN_20230415T134121.SAFE,2020-09-24T07:33:04.111Z,0.17,,,0
S2A_MSIL2A_20200927T072701_N0500_R049_T38RPN_20230414T004713.SAFE,2020-09-27T07:42:59.82Z,0.0,,,0
S2B_MSIL2A_20200929T071709_N0500_R006_T38RPN_20230427T005120.SAFE,2020-09-29T07:33:01.969Z,0.03,,,0
S2B_MSIL2A_20201002T072729_N0500_R049_T38RPN_20230411T043231.SAFE,2020-10-02T07:42:57.685Z,0.0,,,0
S2A_MSIL2A_20201004T071741_N0500_R006_T38RPN_20230409T232036.SAFE,2020-10-04T07:33:04.679Z,0.1,,,0
S2B_MSIL2A_20201009T071819_N0500_R006_T38RPN_20230407T071305.SAFE,2020-10-09T07:33:02.588Z,0.02,,,0
S2B_MSIL2A_20201012T072839_N0500_R049_T38RPN_20230309T195019.SAFE,2020-10-12T07:42:58.096Z,0.0,,,0
S2A_MSIL2A_20201014T071851_N0500_R006_T38RPN_20230410T152643.SAFE,2020-10-14T07:33:04.631Z,0.18,,,0
S2A_MSIL2A_20201017T072921_N0500_R049_T38RPN_20230410T154328.SAFE,2020-10-17T07:43:00.028Z,0.0,,,0
S2B_MSIL2A_20201019T071929_N0500_R006_T38RPN_20230416T191234.SAFE,2020-10-19T07:33:02.605Z,0.06,,,0
S2B_MSIL2A_20201022T072949_N0500_R049_T38RPN_20230411T154047.SAFE,2020-10-22T07:42:57.933Z,0.0,,,0
S2A_MSIL2A_20201024T072001_N0500_R006_T38RPN_20230524T222258.SAFE,2020-10-24T07:33:04.191Z,11.13,,,0
S2A_MSIL2A_20201027T073021_N0500_R049_T38RPN_20230413T090347.SAFE,2020-10-27T07:42:59.632Z,0.0,,,0
S2B_MSIL2A_20201029T072029_N0500_R006_T38RPN_20230414T221432.SAFE,2020-10-29T07:33:01.97Z,0.05,,,0
S2B_MSIL2A_20201101T073049_N0500_R049_T38RPN_20230407T161355.SAFE,2020-11-01T07:42:57.117Z,0.0,,,0
S2A_MSIL2A_20201103T072101_N0500_R006_T38RPN_20230420T072409.SAFE,2020-11-03T07:33:03.776Z,0.18,,,0
S2A_MSIL2A_20201106T073111_N0500_R049_T38RPN_20230407T213541.SAFE,2020-11-06T07:42:58.974Z,4.26,,,0
S2B_MSIL2A_20201108T072119_N0500_R006_T38RPN_20230409T061541.SAFE,2020-11-08T07:33:00.63Z,0.05,,,0
S2B_MSIL2A_20201111T073139_N0500_R049_T38RPN_20230304T002626.SAFE,2020-11-11T07:42:55.557Z,0.0,,,0
S2A_MSIL2A_20201113T072151_N0500_R006_T38RPN_20230411T191248.SAFE,2020-11-13T07:33:02.579Z,0.19,,,0
S2A_MSIL2A_20201116T073201_N0500_R049_T38RPN_20230406T172713.SAFE,2020-11-16T07:42:57.589Z,0.22,,,0
S2B_MSIL2A_20201121T073219_N0500_R049_T38RPN_20230408T155916.SAFE,2020-11-21T07:42:54.899Z,5.49,,,0
S2A_MSIL2A_20201123T072231_N0500_R006_T38RPN_20230414T193737.SAFE,2020-11-23T07:33:00.649Z,0.28,,,0
S2A_MSIL2A_20201126T073241_N0500_R049_T38RPN_20230414T114847.SAFE,2020-11-26T07:42:55.421Z,12.4,,,0
S2B_MSIL2A_20201128T072239_N0500_R006_T38RPN_20230411T192843.SAFE,2020-11-28T07:32:58.704Z,61.38,,,0
S2B_MSIL2A_20201201T073259_N0500_R049_T38RPN_20230301T162713.SAFE,2020-12-01T07:42:53.714Z,99.54,,,0
S2A_MSIL2A_20201203T072301_N0500_R006_T38RPN_20230303T111851.SAFE,2020-12-03T07:32:57.922Z,21.05,,,0
S2A_MSIL2A_20201206T073301_N0500_R049_T38RPN_20230304T083821.SAFE,2020-12-06T07:42:52.365Z,2.26,,,0
S2B_MSIL2A_20201208T072309_N0500_R006_T38RPN_20230329T115225.SAFE,2020-12-08T07:32:56.832Z,0.04,,,0
S2B_MSIL2A_20201211T073219_N0500_R049_T38RPN_20230225T102533.SAFE,2020-12-11T07:42:51.552Z,0.0,,,0
S2A_MSIL2A_20201213T072311_N0500_R006_T38RPN_20230323T224830.SAFE,2020-12-13T07:32:55.957Z,0.19,,,0
S2A_MSIL2A_20201216T073321_N0500_R049_T38RPN_20230323T215920.SAFE,2020-12-16T07:42:52.074Z,19.08,,,0
S2B_MSIL2A_20201218T072319_N0500_R006_T38RPN_20230313T082857.SAFE,2020-12-18T07:32:54.549Z,46.18,,,0
S2B_MSIL2A_20201221T073229_N0500_R049_T38RPN_20230329T150550.SAFE,2020-12-21T07:42:50.677Z,46.19,,,0
S2A_MSIL2A_20201223T072321_N0500_R006_T38RPN_20230414T074142.SAFE,2020-12-23T07:32:57.912Z,0.21,,,0
S2A_MSIL2A_20201226T073321_N0500_R049_T38RPN_20230414T073429.SAFE,2020-12-26T07:42:53.836Z,96.1,,,0
S2B_MSIL2A_20201228T072319_N0500_R006_T38RPN_20230329T001317.SAFE,2020-12-28T07:32:56.65Z,75.34,,,0
S2B_MSIL2A_20201231T073219_N0500_R049_T38RPN_20230329T063321.SAFE,2020-12-31T07:42:52.591Z,0.11,,,0
S2A_MSIL2A_20210102T072311_N0500_R006_T38RPN_20230404T100605.SAFE,2021-01-02T07:32:59.173Z,4.81,,,0
S2A_MSIL2A_20210105T073311_N0500_R049_T38RPN_20230404T141905.SAFE,2021-01-05T07:42:54.858Z,0.02,,,0
