date,roi_name,mean_ndvi,median_ndvi,valid_pixel_count,ndvi_climatology,ndvi_anomaly
2021-09-15,king_salman_park,,,0,,
2021-09-15,northern_expansion,,,0,,
2021-09-15,central_urban,,,0,,
2021-10-15,wadi_hanifa,0.090026,0.062344,299330,0.091623,-0.001597
2021-10-15,king_salman_park,0.057751,0.057182,94335,0.061016,-0.003265
2021-10-15,northern_expansion,0.066103,0.056669,141932,0.068363,-0.002260
2021-10-15,central_urban,0.075076,0.062500,84057,0.075832,-0.000756
2021-11-15,wadi_hanifa,0.099377,0.071072,299328,0.094196,0.005181
2021-11-15,king_salman_park,0.064481,0.063723,94335,0.061031,0.003450
2021-11-15,northern_expansion,0.075635,0.065574,141932,0.069161,0.006474
2021-11-15,central_urban,0.084753,0.072247,84057,0.076047,0.008706
2021-12-15,wadi_hanifa,,,0,,
2021-12-15,king_salman_park,,,0,,
2021-12-15,northern_expansion,,,0,,
2021-12-15,central_urban,,,0,,
2022-01-15,wadi_hanifa,0.106185,0.087492,299330,0.103843,0.002342
2022-01-15,king_salman_park,0.074156,0.078507,94335,0.070463,0.003693
2022-01-15,northern_expansion,0.079485,0.075938,141932,0.076417,0.003068
2022-01-15,central_urban,0.086649,0.084291,84057,0.082096,0.004553
2022-02-15,wadi_hanifa,0.091789,0.072700,299330,0.100098,-0.008309
2022-02-15,king_salman_park,0.063216,0.065876,94335,0.069971,-0.006755
2022-02-15,northern_expansion,0.068174,0.063431,141932,0.074409,-0.006235
2022-02-15,central_urban,0.074965,0.069351,84057,0.078746,-0.003781
2022-03-15,wadi_hanifa,0.099605,0.068281,299330,0.096022,0.003583
2022-03-15,king_salman_park,0.069304,0.064197,94335,0.065687,0.003617
2022-03-15,northern_expansion,0.076775,0.061934,141932,0.071361,0.005414
2022-03-15,central_urban,0.083694,0.070037,84057,0.076952,0.006742
2022-04-15,wadi_hanifa,0.082187,0.054304,299330,0.095035,-0.012848
2022-04-15,king_salman_park,0.052782,0.049493,94335,0.067030,-0.014248
2022-04-15,northern_expansion,0.061528,0.050358,141932,0.071863,-0.010335
2022-04-15,central_urban,0.069184,0.056828,84057,0.077540,-0.008356
2022-05-15,wadi_hanifa,0.085282,0.062749,299330,0.094373,-0.009092
2022-05-15,king_salman_park,0.059837,0.054657,94335,0.065532,-0.005695
2022-05-15,northern_expansion,0.065649,0.054306,141932,0.071942,-0.006293
2022-05-15,central_urban,0.077395,0.064879,84057,0.079651,-0.002256
2022-06-15,wadi_hanifa,0.103029,0.074684,299329,0.094973,0.008056
2022-06-15,king_salman_park,0.073819,0.070850,94335,0.066923,0.006896
2022-06-15,northern_expansion,0.080074,0.068207,141932,0.073036,0.007038
2022-06-15,central_urban,0.090625,0.075651,84057,0.079200,0.011425
2022-07-15,wadi_hanifa,,,0,,
2022-07-15,king_salman_park,,,0,,
2022-07-15,northern_expansion,,,0,,
2022-07-15,central_urban,0.203464,0.090816,947,0.097055,0.106409
2022-08-15,wadi_hanifa,0.075951,0.050705,299330,0.082803,-0.006852
2022-08-15,king_salman_park,0.045457,0.044104,94335,0.055552,-0.010095
2022-08-15,northern_expansion,0.053740,0.044996,141932,0.061313,-0.007573
2022-08-15,central_urban,0.063845,0.051230,84057,0.067635,-0.003790
2022-09-15,wadi_hanifa,0.089720,0.067011,299330,0.087138,0.002582
2022-09-15,king_salman_park,0.062409,0.062565,94335,0.059884,0.002525
2022-09-15,northern_expansion,0.068164,0.060718,141932,0.065290,0.002874
2022-09-15,central_urban,0.076445,0.065787,84057,0.070272,0.006173
2022-10-15,wadi_hanifa,0.096945,0.074016,299330,0.091623,0.005322
2022-10-15,king_salman_park,0.067786,0.067980,94335,0.061016,0.006770
2022-10-15,northern_expansion,0.073413,0.065229,141932,0.068363,0.005050
2022-10-15,central_urban,0.082285,0.072240,84057,0.075832,0.006453
2022-11-15,wadi_hanifa,0.092621,0.065375,299330,0.094196,-0.001575
2022-11-15,king_salman_park,0.058847,0.057560,94335,0.061031,-0.002184
2022-11-15,northern_expansion,0.066761,0.055955,141932,0.069161,-0.002400
2022-11-15,central_urban,0.075542,0.064330,84057,0.076047,-0.000505
2022-12-15,wadi_hanifa,0.105667,0.087241,299330,0.096465,0.009202
2022-12-15,king_salman_park,0.072665,0.077508,94335,0.063434,0.009231
2022-12-15,northern_expansion,0.080134,0.076110,141932,0.070483,0.009651
2022-12-15,central_urban,0.085016,0.081352,84057,0.076334,0.008682
2023-01-15,wadi_hanifa,0.104775,0.085418,299330,0.103843,0.000932
2023-01-15,king_salman_park,0.072515,0.077039,94335,0.070463,0.002052
2023-01-15,northern_expansion,0.074328,0.071786,141932,0.076417,-0.002089
2023-01-15,central_urban,0.082041,0.080097,84057,0.082096,-0.000055
2023-02-15,wadi_hanifa,0.110768,0.085969,299329,0.100098,0.010670
2023-02-15,king_salman_park,0.077891,0.078178,94335,0.069971,0.007920
2023-02-15,northern_expansion,0.077065,0.069237,141932,0.074409,0.002656
2023-02-15,central_urban,0.085423,0.078757,84057,0.078746,0.006677
2023-03-15,wadi_hanifa,0.101766,0.073237,299330,0.096022,0.005744
2023-03-15,king_salman_park,0.067278,0.065852,94335,0.065687,0.001591
2023-03-15,northern_expansion,0.069813,0.059010,141932,0.071361,-0.001548
2023-03-15,central_urban,0.077826,0.067887,84057,0.076952,0.000874
2023-04-15,wadi_hanifa,0.109533,0.081867,299330,0.095035,0.014498
2023-04-15,king_salman_park,0.079345,0.077561,94335,0.067030,0.012315
2023-04-15,northern_expansion,0.081635,0.070414,141932,0.071863,0.009772
2023-04-15,central_urban,0.089020,0.077337,84057,0.077540,0.011480
2023-05-15,wadi_hanifa,0.102722,0.071853,299330,0.094373,0.008348
2023-05-15,king_salman_park,0.072015,0.067963,94335,0.065532,0.006483
2023-05-15,northern_expansion,0.075841,0.061545,141932,0.071942,0.003899
