aoi,date,hls_system_index,hls_ndvi,n_valid_pixels,n_total_pixels,qa_flag
king_salman_park,2024-04-04,T01FBF_20240405T214911+T01UBS_20240403T230529+T01UBT_20240403T230529+T01VCK_20240404T232631+T01WCP_20240405T234619+T01WCQ_20240403T235611+T01WCQ_20240405T234619+T01WCR_20240403T235611+T01WCR_20240405T234619+T01WCS_20240403T235611+T01WCT_20240403T235611+T01WCT_20240405T001609+T01WCU_20240403T235611+T01WCU_20240405T001609+T38RPN_20240404T072609+T60UXC_20240403T230529+T60VXQ_20240404T232631+T60WWE_20240403T002601,0.091175,16943,20700,multi_scene_mosaicked(n=18)
king_salman_park,2024-05-04,T01LAK_20240505T222759+T01UBT_20240503T230529+T01VCK_20240504T232631+T01VCL_20240505T234619+T01WCM_20240505T234619+T01WCN_20240505T234619+T01WCP_20240505T234619+T01WCR_20240503T235621+T01WCR_20240505T234619+T01WCS_20240503T235621+T01WCT_20240503T235621+T01WCT_20240505T001609+T01WCU_20240503T235621+T01WCU_20240505T001609+T01WCV_20240505T001609+T38RPN_20240504T072619+T60VXQ_20240504T232631+T60VXR_20240505T234619,0.082955,18023,20700,multi_scene_mosaicked(n=18)
king_salman_park,2024-09-16,T01FBF_20240917T214909+T01UBT_20240915T230531+T01VCK_20240916T232629+T01VCL_20240917T234621+T01WCM_20240917T234621+T01WCN_20240917T234621+T01WCP_20240917T234621+T01WCQ_20240915T235609+T01WCQ_20240917T234621+T01WCR_20240917T234621+T01WCT_20240915T235609+T01WCT_20240917T001611+T01WCU_20240917T001611+T01WCV_20240917T001611+T38RPN_20240916T072611+T60UXC_20240915T230531+T60VXQ_20240916T232629+T60VXR_20240917T234621+T60WWE_20240917T001611,0.087597,14745,20700,multi_scene_mosaicked(n=19)
king_salman_park,2024-10-01,T01LAK_20241002T222759+T01VCL_20241002T234619+T01WCM_20241002T234619+T01WCN_20241002T234619+T01WCQ_20240930T235621+T01WCR_20240930T235621+T01WCS_20240930T235621+T01WCT_20240930T235621+T01WCT_20241002T001609+T01WCU_20240930T235621+T01WCU_20241002T001609+T01WCV_20240930T002611+T01WCV_20241002T001609+T38RPN_20241001T072629+T60VXR_20241002T234619+T60WWE_20240930T002611+T60WWE_20241002T001609,0.081258,9364,20700,multi_scene_mosaicked(n=17)
king_salman_park,2024-11-05,T01FBF_20241106T214859+T01LAK_20241106T222751+T01UBS_20241104T230731+T01UBT_20241104T230731+T38RPN_20241105T073101+T60UXB_20241104T230731+T60UXC_20241104T230731,0.094105,17585,20700,multi_scene_mosaicked(n=7)
king_salman_park,2025-03-15,T01LAK_20250316T222821+T01UBT_20250314T230551+T01VCK_20250315T232639+T01WCN_20250316T234651+T01WCQ_20250314T235619+T01WCQ_20250316T234651+T01WCR_20250314T235619+T01WCR_20250316T234651+T01WCS_20250314T235619+T01WCT_20250314T235619+T01WCT_20250316T001631+T01WCU_20250314T235619+T01WCU_20250316T001631+T01WCV_20250314T002609+T38RPN_20250315T072711+T60UXC_20250314T230551+T60VXQ_20250315T232639+T60WWE_20250314T002609,0.090396,14119,20700,multi_scene_mosaicked(n=18)
king_salman_park,2025-04-09,T01LAK_20250410T222759+T01UBT_20250408T230529+T01VCK_20250409T232651+T01VCL_20250410T234629+T01WCN_20250410T234629+T01WCQ_20250408T235641+T01WCQ_20250410T234629+T01WCR_20250408T235641+T01WCR_20250410T234629+T01WCS_20250408T235641+T01WCT_20250408T235641+T01WCT_20250410T001609+T01WCU_20250408T235641+T01WCV_20250408T002631+T38RPN_20250409T072619+T60UXC_20250408T230529+T60VXQ_20250409T232651+T60VXR_20250410T234629,0.092019,15918,20700,multi_scene_mosaicked(n=18)
king_salman_park,2025-05-09,T01FBF_20250510T214931+T01LAK_20250510T222759+T01UBT_20250508T230529+T01VCK_20250509T232651+T01WCM_20250510T234619+T01WCN_20250510T234619+T01WCQ_20250510T234619+T01WCR_20250508T235631+T01WCR_20250510T234619+T01WCS_20250508T235631+T01WCT_20250510T001609+T01WCU_20250510T001609+T38RPN_20250509T072619+T60UXC_20250508T230529+T60VXQ_20250509T232651+T60WWE_20250508T002631+T60WWE_20250510T001609,0.077252,6654,20700,multi_scene_mosaicked(n=17)
king_salman_park,2025-10-11,T38RPN_20251011T072841,0.091930,7143,18756,ok
king_salman_park,2025-11-25,T38RPN_20251125T073139,0.094194,16583,18756,ok
qiddiya_core,2020-03-01,T01LAK_20200302T222751+T01UBS_20200229T230531+T01VCK_20200301T232629+T01WCQ_20200229T235609+T01WCR_20200229T235609+T38RPN_20200301T072821+T60UXB_20200229T230531+T60VXQ_20200301T232629,0.103405,20336,20500,multi_scene_mosaicked(n=8)
qiddiya_core,2020-04-25,T01LAK_20200426T222749+T01WCM_20200426T234619+T01WCN_20200426T234619+T01WCQ_20200424T235621+T01WCQ_20200426T234619+T01WCR_20200424T235621+T01WCR_20200426T234619+T01WCS_20200424T235621+T01WCT_20200424T235621+T01WCU_20200426T001609+T01WCV_20200424T002611+T01WCV_20200426T001609+T60WWE_20200424T002611+T60WWE_20200426T001609,,0,20500,multi_scene_mosaicked(n=14);zero_valid_pixels
qiddiya_core,2020-11-11,T38RPN_20201111T073139,0.086194,17412,18662,ok
qiddiya_core,2020-12-11,T38RPN_20201211T073219,0.093589,16157,18662,ok
qiddiya_core,2021-01-05,T38RPN_20210105T073311,0.091031,18415,18662,ok
qiddiya_core,2021-02-14,T38RPN_20210214T073011,0.095348,16890,18662,ok
qiddiya_core,2021-11-21,T38RPN_20211121T073221,0.088131,14605,18662,ok
qiddiya_core,2021-12-01,T38RPN_20211201T073251,0.085163,14663,18662,ok
qiddiya_core,2022-01-10,T38RPN_20220110T073301,0.094775,15828,18662,ok
qiddiya_core,2022-02-04,T38RPN_20220204T073009,0.097726,16051,18662,ok
qiddiya_core,2022-03-16,T38RPN_20220316T072639,0.093605,15337,18662,ok
qiddiya_core,2022-10-12,T01FBF_20221013T214911+T01LAK_20221013T222759+T01VCK_20221012T232641+T01VCL_20221013T234619+T01WCM_20221013T234619+T01WCN_20221013T234619+T01WCP_20221011T235621+T01WCP_20221013T234619+T01WCQ_20221011T235621+T01WCQ_20221013T234619+T01WCR_20221011T235621+T38RPN_20221012T072829+T60VXQ_20221012T232641+T60VXR_20221013T234619,0.093108,18139,20500,multi_scene_mosaicked(n=14)
qiddiya_core,2022-11-21,T01LAK_20221122T222759+T01UBS_20221120T230849+T01UBT_20221120T230849+T38RPN_20221121T073129+T60UXC_20221120T230849,0.086210,17143,20500,multi_scene_mosaicked(n=5)
qiddiya_core,2022-12-11,T01FBF_20221212T214911+T01UBT_20221210T230939+T38RPN_20221211T073219+T60UXB_20221210T230939,0.094611,20294,20500,multi_scene_mosaicked(n=4)
qiddiya_core,2023-02-24,T01FBF_20230225T214909+T01UBS_20230223T230531+T01UBT_20230223T230531+T01VCK_20230224T232639+T01VCL_20230225T234621+T01WCN_20230225T234621+T01WCP_20230225T234621+T38RPN_20230224T072911+T60UXB_20230223T230531+T60UXC_20230223T230531+T60VXQ_20230224T232639,0.107298,17812,20500,multi_scene_mosaicked(n=11)
