aoi,month_slot,acquisition_date,system_index,cloudy_pixel_pct,processing_baseline,source,notes
qiddiya_core,2023-04-30,2023-04-30,20230430T072619_20230430T073149_T38RPN,0.000000,05.09,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6499396562576056; uvai_date=2023-04-30
qiddiya_core,2022-08-03,2022-08-03,20220803T072619_20220803T073152_T38RPN,0.000000,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6213385120559591; uvai_date=2022-08-03
diriyah_gate,2022-05-25,2022-05-25,20220525T072619_20220525T073147_T38RPN,0.000000,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=3.301210617370568; uvai_date=2022-05-25
diriyah_gate,2022-05-10,2022-05-10,20220510T072621_20220510T073151_T38RPN,0.000000,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=2.293453392460349; uvai_date=2022-05-10
diriyah_gate,2022-05-20,2022-05-20,20220520T072621_20220520T073153_T38RPN,0.000000,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=2.2600237137054604; uvai_date=2022-05-20
diriyah_gate,2022-05-05,2022-05-05,20220505T072609_20220505T073142_T38RPN,4.060856,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=2.2201782297827313; uvai_date=2022-05-05
diriyah_gate,2025-05-09,2025-05-09,20250509T072619_20250509T074216_T38RPN,0.000000,05.11,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=2.0905774061659166; uvai_date=2025-05-09
diriyah_gate,2022-04-10,2022-04-10,20220410T072621_20220410T073149_T38RPN,0.463077,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=2.018439172563016; uvai_date=2022-04-10
diriyah_gate,2022-08-18,2022-08-18,20220818T072631_20220818T073200_T38RPN,2.866732,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.973487113035887; uvai_date=2022-08-18
diriyah_gate,2021-08-03,2021-08-03,20210803T072621_20210803T073150_T38RPN,0.046500,03.01,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.851271344546006; uvai_date=2021-08-03
diriyah_gate,2022-05-30,2022-05-30,20220530T072621_20220530T073155_T38RPN,0.000000,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.8411724740238407; uvai_date=2022-05-30
diriyah_gate,2024-05-19,2024-05-19,20240519T072621_20240519T073503_T38RPN,0.000000,05.10,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.7291490269273502; uvai_date=2024-05-19
diriyah_gate,2025-05-24,2025-05-24,20250524T072631_20250524T073832_T38RPN,0.020275,05.11,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6279563326792243; uvai_date=2025-05-24
diriyah_gate,2022-08-23,2022-08-23,20220823T072619_20220823T073821_T38RPN,3.012213,04.00,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6257503305572207; uvai_date=2022-08-23
diriyah_gate,2025-04-24,2025-04-24,20250424T072641_20250424T074135_T38RPN,0.007226,05.11,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6182539797513524; uvai_date=2025-04-24
diriyah_gate,2025-05-16,2025-05-16,20250516T073031_20250516T073441_T38RPN,0.136642,05.11,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6080098482524618; uvai_date=2025-05-16
diriyah_gate,2025-08-04,2025-08-04,20250804T073031_20250804T073952_T38RPN,0.093852,05.11,locked_at_selection,sq1c uvai-anchored candidate; uvai_mean=1.6011059650445545; uvai_date=2025-08-04
