date,l1c_product_id,cloud_pct,uvai_mean,uvai_max,pool,rank
2021-01-10,20210110T073159_20210110T073904_T38RPN,0,-1.4360249190608683,-1.305920362472446,A,1
2021-01-05,20210105T073311_20210105T073312_T38RPN,0,-1.1349055066848055,-1.1185859441760422,A,2
2020-12-31,20201231T073219_20201231T073222_T38RPN,0.10412374212428,-1.1122623411747068,-1.0164071088485718,A,3
2023-10-27,20231027T073009_20231027T073145_T38RPN,0.320164830242766,-0.06733783001533118,0.06876076012851787,B,1
2024-12-05,20241205T073301_20241205T073546_T38RPN,0.0121532443488907,0.33640770530800396,0.35959976911555147,B,2
2025-11-27,20251127T072251_20251127T073209_T38RPN,0.446632379091603,0.3900922421079168,0.4136969149113892,B,3
