date,l1c_product_id,cloud_pct,tropomi_n_images,uvai_mean,uvai_max
2020-01-06,20200106T073209_20200106T073209_T38RPN,0.156738033384096,14,-1.0226312272694251,-0.9939404528346194
2020-01-11,20200111T073251_20200111T073252_T38RPN,0.013437248051599,14,-0.3487185514166301,-0.2878079312140725
2020-01-16,20200116T073139_20200116T074024_T38RPN,0.6891,14,-0.30998670413156576,-0.30895671248435974
2020-01-21,20200121T073221_20200121T073219_T38RPN,1.6047,14,-0.27492172665025555,-0.2723809480667114
2020-01-26,20200126T073059_20200126T073934_T38RPN,3.8243,15,-0.44753909653780344,-0.4317658245563507
2020-01-31,20200131T073131_20200131T073131_T38RPN,0,15,-0.10271231323665511,-0.08345619589090347
2020-02-15,20200215T073009_20200215T073205_T38RPN,0,14,-0.3181253784204282,-0.29858020823231235
2020-03-01,20200301T072821_20200301T073633_T38RPN,0,14,0.826416699112871,0.8332582712173462
2020-03-06,20200306T072749_20200306T073328_T38RPN,0,14,0.6057125138519434,0.6565089225769043
2020-03-16,20200316T072639_20200316T073813_T38RPN,0,14,0.5062680946108457,0.5177289247512817
2020-03-21,20200321T072611_20200321T073926_T38RPN,0,14,0.9059030268762601,0.9646256566047668
2020-03-26,20200326T072619_20200326T074241_T38RPN,0,14,2.102100719528121,2.1828804161886985
2020-03-31,20200331T072611_20200331T073205_T38RPN,0,14,0.46457211652119046,0.4996439516544342
2020-04-05,20200405T072609_20200405T073256_T38RPN,0.3022,15,0.4494931037896622,0.45446298627096354
2020-04-10,20200410T072611_20200410T073912_T38RPN,2.9129,15,0.8709943503604302,0.8850321769714355
2020-04-25,20200425T072609_20200425T073431_T38RPN,0.023,14,0.22960697615621162,0.2318260222673416
2020-05-17,20200517T071621_20200517T072346_T38RPN,4.3714,13,0.14090552570121503,0.1951374039053395
2020-05-25,20200525T072619_20200525T073434_T38RPN,3.9242,14,1.1176090701002124,1.1246913671496768
2020-05-27,20200527T071621_20200527T073129_T38RPN,2.1379,14,-0.1416697033578337,-0.08966014534232604
2020-05-30,20200530T072621_20200530T073207_T38RPN,0.1883,14,0.823222593581706,0.95904433727292
2020-06-04,20200604T072619_20200604T073435_T38RPN,0.1771,14,0.7943526441813613,0.843583822250609
2020-06-06,20200606T071621_20200606T073226_T38RPN,1.3528,14,0.6194721737784797,0.6516731569116376
2020-06-09,20200609T072621_20200609T073925_T38RPN,0.2184,14,1.3120578036601662,1.3155547658956614
2020-06-14,20200614T072619_20200614T074238_T38RPN,0.6169,14,0.44654802132753385,0.47422471642507846
2020-06-19,20200619T072621_20200619T074130_T38RPN,0.2889,14,0.5256658337860126,0.5303067564966056
2020-06-24,20200624T072619_20200624T073432_T38RPN,0.2007,15,0.4106203678821429,0.42134886980070757
2020-06-29,20200629T072621_20200629T073206_T38RPN,0.2671,15,0.3825847212436634,0.39677223563207453
2020-07-04,20200704T072619_20200704T073413_T38RPN,0.2063,24,-0.2908381191374669,-0.2559311141569725
2020-07-24,20200724T072619_20200724T073435_T38RPN,2.1783,14,-0.007544953186545248,0.012601473368708505
2020-07-29,20200729T072621_20200729T074050_T38RPN,0.2167,14,0.03502604651470884,0.03930910317450345
2020-08-03,20200803T072619_20200803T073526_T38RPN,0.1755,14,0.20302634052184493,0.23957137763493808
2020-08-13,20200813T072619_20200813T073935_T38RPN,0.9791,14,0.8160422660196881,0.8461706380136462
2020-08-18,20200818T072621_20200818T073707_T38RPN,0.2838,14,0.8764316107271698,0.9264100984731757
2020-08-23,20200823T072619_20200823T073150_T38RPN,0.2122,14,0.8377675772828876,0.9651537537577546
2020-08-28,20200828T072621_20200828T073152_T38RPN,0.3172,14,0.43419023983186406,0.4476388010616675
2020-09-04,20200904T071621_20200904T072138_T38RPN,0.0349437207677036,14,-0.29804308299348414,-0.28400990366928136
2020-09-07,20200907T072621_20200907T073151_T38RPN,0.3278,14,-0.04677133711290209,-0.02720890380441959
2020-09-12,20200912T072619_20200912T073659_T38RPN,0,14,-0.057564358377022645,-0.045340966433274545
